NACA	0015
	1.00000	0.00157
	0.99280	0.00283
	0.97989	0.00506
	0.96352	0.00783
	0.94455	0.01098
	0.92350	0.01439
	0.90075	0.01798
	0.87658	0.02169
	0.85123	0.02548
	0.82489	0.02929
	0.79774	0.03310
	0.76991	0.03688
	0.74154	0.04060
	0.71275	0.04423
	0.68365	0.04776
	0.65434	0.05117
	0.62492	0.05442
	0.59547	0.05751
	0.56607	0.06040
	0.53680	0.06309
	0.50774	0.06556
	0.47895	0.06777
	0.45050	0.06973
	0.42246	0.07140
	0.39488	0.07277
	0.36782	0.07383
	0.34135	0.07456
	0.31551	0.07495
	0.29035	0.07500
	0.26594	0.07468
	0.24231	0.07400
	0.21951	0.07296
	0.19760	0.07154
	0.17661	0.06977
	0.15660	0.06763
	0.13760	0.06513
	0.11965	0.06229
	0.10280	0.05912
	0.08709	0.05562
	0.07256	0.05182
	0.05924	0.04772
	0.04717	0.04334
	0.03639	0.03870
	0.02694	0.03381
	0.01885	0.02870
	0.01215	0.02336
	0.00688	0.01781
	0.00308	0.01207
	0.00078	0.00613
	0.00000	0.00000
	0.00078	-0.00613
	0.00308	-0.01207
	0.00688	-0.01781
	0.01215	-0.02336
	0.01885	-0.02870
	0.02694	-0.03381
	0.03639	-0.03870
	0.04717	-0.04334
	0.05924	-0.04772
	0.07256	-0.05182
	0.08709	-0.05562
	0.10280	-0.05912
	0.11965	-0.06229
	0.13760	-0.06513
	0.15660	-0.06763
	0.17661	-0.06977
	0.19760	-0.07154
	0.21951	-0.07296
	0.24231	-0.07400
	0.26594	-0.07468
	0.29035	-0.07500
	0.31551	-0.07495
	0.34135	-0.07456
	0.36782	-0.07383
	0.39488	-0.07277
	0.42246	-0.07140
	0.45050	-0.06973
	0.47895	-0.06777
	0.50774	-0.06556
	0.53680	-0.06309
	0.56607	-0.06040
	0.59547	-0.05751
	0.62492	-0.05442
	0.65434	-0.05117
	0.68365	-0.04776
	0.71275	-0.04423
	0.74154	-0.04060
	0.76991	-0.03688
	0.79774	-0.03310
	0.82489	-0.02929
	0.85123	-0.02548
	0.87658	-0.02169
	0.90075	-0.01798
	0.92350	-0.01439
	0.94455	-0.01098
	0.96352	-0.00783
	0.97989	-0.00506
	0.99280	-0.00283
	1.00000	-0.00157
